[17:54:55] Initialized telemetry.
[17:54:56] Initialized sensor.
[17:54:56] Initialized chute pin.
[17:54:56] Entering program loop.
[17:54:56] Sent heartbeat (0)
[17:54:57] Sent heartbeat (0)
[17:54:58] Sent heartbeat (0)
[17:54:59] Sent heartbeat (0)
[17:55:00] Sent heartbeat (0)
[17:55:01] Sent heartbeat (0)
[17:55:02] Sent heartbeat (0)
[17:55:03] Sent heartbeat (0)
[17:55:04] Sent heartbeat (0)
[17:55:05] Sent heartbeat (0)
[17:55:06] Sent heartbeat (0)
[17:55:07] Sent heartbeat (0)
[17:55:08] Sent heartbeat (0)
[17:55:09] Sent heartbeat (0)
[17:55:10] Sent heartbeat (0)
[17:55:11] Sent heartbeat (0)
[17:55:12] Sent heartbeat (0)
[17:55:13] Sent heartbeat (0)
[17:55:14] Sent heartbeat (0)
[17:55:15] Sent heartbeat (0)
[17:55:16] Sent heartbeat (0)
[17:55:17] Sent heartbeat (0)
[17:55:18] Sent heartbeat (0)
[17:55:19] Sent heartbeat (0)
[17:55:20] Sent heartbeat (0)
[17:55:21] Sent heartbeat (0)
[17:55:22] Sent heartbeat (0)
[17:55:23] Sent heartbeat (0)
