[21:20:33] UDP debugger initialized OK
[21:20:34] Initialized telemetry.
[21:20:34] Initialized sensor.
[21:20:34] Initialized chute pin.
[21:20:34] Entering program loop.
[21:20:34] Sent heartbeat (0)
[21:20:35] Sent heartbeat (0)
[21:20:36] Sent heartbeat (0)
[21:20:37] Sent heartbeat (0)
[21:20:38] Sent heartbeat (0)
[21:20:39] Sent heartbeat (0)
[21:20:40] Sent heartbeat (0)
[21:20:41] Sent heartbeat (0)
[21:20:42] Sent heartbeat (0)
[21:20:43] Sent heartbeat (0)
[21:20:44] Sent heartbeat (0)
[21:20:45] Sent heartbeat (0)
[21:20:46] Sent heartbeat (0)
[21:20:47] Sent heartbeat (0)
[21:20:48] Sent heartbeat (0)
[21:20:49] Sent heartbeat (0)
[21:20:50] Sent heartbeat (0)
[21:20:51] Sent heartbeat (0)
[21:20:52] Sent heartbeat (0)
[21:20:53] Sent heartbeat (0)
[21:20:54] Sent heartbeat (0)
[21:20:55] Sent heartbeat (0)
[21:20:56] Sent heartbeat (0)
[21:20:57] Sent heartbeat (0)
[21:20:58] Sent heartbeat (0)
[21:20:59] Sent heartbeat (0)
[21:21:00] New state read (3).
[21:21:00] Armed
[21:21:00] Started logging
[21:21:00] [0.0638780593872] Data read
[21:21:00] [0.0754020214081] Data read
[21:21:00] [0.0877511501312] Data read
[21:21:00] [0.0993590354919] Data read
[21:21:00] [0.111827135086] Data read
[21:21:00] [0.124711990356] Data read
[21:21:00] [0.13597202301] Data read
[21:21:00] [0.14736700058] Data read
[21:21:00] [0.159497976303] Data read
[21:21:00] [0.172383069992] Data read
[21:21:00] [0.183927059174] Data read
[21:21:00] [0.196309089661] Data read
[21:21:00] [0.207714080811] Data read
[21:21:00] [0.220499992371] Data read
[21:21:00] [0.231729984283] Data read
[21:21:00] [0.243517160416] Data read
[21:21:00] [0.25573015213] Data read
[21:21:00] [0.267436981201] Data read
[21:21:00] Sent heartbeat (3)
[21:21:00] [0.279704093933] Data read
[21:21:00] [0.29206609726] Data read
[21:21:00] [0.303709030151] Data read
[21:21:00] [0.315989971161] Data read
[21:21:00] [0.327766180038] Data read
[21:21:00] [0.339020967484] Data read
[21:21:00] [0.351598978043] Data read
[21:21:00] [0.363200187683] Data read
[21:21:00] [0.375506162643] Data read
[21:21:00] [0.387320041656] Data read
[21:21:00] [0.399262189865] Data read
[21:21:00] [0.411031007767] Data read
[21:21:00] [0.423454046249] Data read
[21:21:00] [0.434988975525] Data read
[21:21:00] [0.447319030762] Data read
[21:21:00] [0.459208965302] Data read
[21:21:00] [0.471168041229] Data read
[21:21:00] [0.48295211792] Data read
[21:21:00] [0.495486021042] Data read
[21:21:00] [0.506817102432] Data read
[21:21:00] [0.519279003143] Data read
[21:21:00] [0.531028985977] Data read
[21:21:00] [0.543375015259] Data read
[21:21:00] [0.555042028427] Data read
[21:21:00] [0.567031145096] Data read
[21:21:00] [0.579136133194] Data read
[21:21:00] [0.591892004013] Data read
[21:21:00] [0.602996110916] Data read
[21:21:00] [0.615242004395] Data read
[21:21:00] [0.627292156219] Data read
[21:21:00] [0.63919711113] Data read
[21:21:00] [0.65060710907] Data read
[21:21:00] [0.662914991379] Data read
[21:21:01] [0.675050020218] Data read
[21:21:01] [0.693680047989] Data read
[21:21:01] [0.711660146713] Data read
[21:21:01] [0.719931125641] Data read
[21:21:01] [0.733669996262] Data read
[21:21:01] [0.742848157883] Data read
[21:21:01] [0.752345085144] Data read
[21:21:01] [0.76366519928] Data read
[21:21:01] [0.777453184128] Data read
[21:21:01] [0.784160137177] Data read
[21:21:01] [0.794643163681] Data read
[21:21:01] [0.806730031967] Data read
[21:21:01] [0.818768024445] Data read
[21:21:01] [0.830754995346] Data read
[21:21:01] [0.842664003372] Data read
[21:21:01] [0.854772090912] Data read
[21:21:01] [0.866626024246] Data read
[21:21:01] [0.87993311882] Data read
[21:21:01] [0.890997171402] Data read
[21:21:01] [0.902633190155] Data read
[21:21:01] [0.914324998856] Data read
[21:21:01] [0.926959991455] Data read
[21:21:01] [0.938363075256] Data read
[21:21:01] [0.95182800293] Data read
[21:21:01] [0.962597131729] Data read
[21:21:01] [0.974637031555] Data read
[21:21:01] [0.986170053482] Data read
[21:21:01] [0.999409198761] Data read
[21:21:01] [1.0104060173] Data read
[21:21:01] [1.02259516716] Data read
[21:21:01] [1.03441309929] Data read
[21:21:01] [1.046916008] Data read
[21:21:01] [1.0580971241] Data read
[21:21:01] [1.07067012787] Data read
[21:21:01] [1.08202314377] Data read
[21:21:01] [1.0948331356] Data read
[21:21:01] [1.10595703125] Data read
[21:21:01] [1.11885619164] Data read
[21:21:01] [1.13022208214] Data read
[21:21:01] [1.14245200157] Data read
[21:21:01] [1.15390610695] Data read
[21:21:01] [1.16634202003] Data read
[21:21:01] [1.17878198624] Data read
[21:21:01] [1.1913921833] Data read
[21:21:01] [1.2022960186] Data read
[21:21:01] [1.21445703506] Data read
[21:21:01] [1.2258040905] Data read
[21:21:01] [1.23815202713] Data read
[21:21:01] [1.25053596497] Data read
[21:21:01] [1.26218104362] Data read
[21:21:01] Sent heartbeat (3)
[21:21:01] [1.27456998825] Data read
[21:21:01] [1.28652215004] Data read
[21:21:01] [1.29789304733] Data read
[21:21:01] [1.3111011982] Data read
[21:21:01] [1.32193017006] Data read
[21:21:01] [1.33458518982] Data read
[21:21:01] [1.34590601921] Data read
[21:21:01] [1.3582110405] Data read
[21:21:01] [1.37009310722] Data read
[21:21:01] [1.3820271492] Data read
[21:21:01] [1.39406204224] Data read
[21:21:01] [1.40610003471] Data read
[21:21:01] [1.41789102554] Data read
[21:21:01] [1.43004202843] Data read
[21:21:01] [1.44162511826] Data read
[21:21:01] [1.45422697067] Data read
[21:21:01] [1.46605801582] Data read
[21:21:01] [1.47837805748] Data read
[21:21:01] [1.48995900154] Data read
[21:21:01] [1.50194215775] Data read
[21:21:01] [1.51435899734] Data read
[21:21:01] [1.52590107918] Data read
[21:21:01] [1.53761816025] Data read
[21:21:01] [1.55051517487] Data read
[21:21:01] [1.56193208694] Data read
[21:21:01] [1.57385206223] Data read
[21:21:01] [1.58546113968] Data read
[21:21:01] [1.59777808189] Data read
[21:21:01] [1.60968518257] Data read
[21:21:01] [1.62225198746] Data read
[21:21:01] [1.63406896591] Data read
[21:21:01] [1.6469540596] Data read
[21:21:01] [1.65764498711] Data read
[21:21:02] [1.66968917847] Data read
[21:21:02] [1.68129301071] Data read
[21:21:02] [1.69410514832] Data read
[21:21:02] [1.70562314987] Data read
[21:21:02] [1.71850800514] Data read
[21:21:02] [1.72934913635] Data read
[21:21:02] [1.74169015884] Data read
[21:21:02] [1.75367999077] Data read
[21:21:02] [1.76554298401] Data read
[21:21:02] [1.77734804153] Data read
[21:21:02] [1.78969907761] Data read
[21:21:02] [1.80130910873] Data read
[21:21:02] [1.81393504143] Data read
[21:21:02] [1.82507610321] Data read
[21:21:02] [1.83747506142] Data read
[21:21:02] [1.84977602959] Data read
[21:21:02] [1.86168599129] Data read
[21:21:02] [1.87310504913] Data read
[21:21:02] [1.88590312004] Data read
[21:21:02] [1.89716506004] Data read
[21:21:02] [1.90984511375] Data read
[21:21:02] [1.92129707336] Data read
[21:21:02] [1.93351697922] Data read
[21:21:02] [1.94546699524] Data read
[21:21:02] [1.95791196823] Data read
[21:21:02] [1.96921300888] Data read
[21:21:02] [1.98156809807] Data read
[21:21:02] [1.99452018738] Data read
[21:21:02] [2.00553011894] Data read
[21:21:02] [2.01740813255] Data read
[21:21:02] [2.02958703041] Data read
[21:21:02] [2.04118299484] Data read
[21:21:02] [2.05501008034] Data read
[21:21:02] [2.06522798538] Data read
[21:21:02] [2.07759809494] Data read
[21:21:02] [2.08933115005] Data read
[21:21:02] [2.10161304474] Data read
[21:21:02] [2.11320710182] Data read
[21:21:02] [2.12528300285] Data read
[21:21:02] [2.13761711121] Data read
[21:21:02] [2.14943814278] Data read
[21:21:02] [2.1610929966] Data read
[21:21:02] [2.17337203026] Data read
[21:21:02] [2.18572616577] Data read
[21:21:02] [2.19754600525] Data read
[21:21:02] [2.20882916451] Data read
[21:21:02] [2.22123718262] Data read
[21:21:02] [2.23295307159] Data read
[21:21:02] [2.24511599541] Data read
[21:21:02] [2.25661706924] Data read
[21:21:02] [2.26951003075] Data read
[21:21:02] Sent heartbeat (3)
[21:21:02] [2.28067708015] Data read
[21:21:02] [2.29343318939] Data read
[21:21:02] [2.30483317375] Data read
[21:21:02] [2.31842207909] Data read
[21:21:02] [2.32902097702] Data read
[21:21:02] [2.34117007256] Data read
[21:21:02] [2.35292100906] Data read
[21:21:02] [2.36512303352] Data read
[21:21:02] [2.37660717964] Data read
[21:21:02] [2.38896918297] Data read
[21:21:02] [2.4008641243] Data read
[21:21:02] [2.41322207451] Data read
[21:21:02] [2.42475104332] Data read
[21:21:02] [2.43724799156] Data read
[21:21:02] [2.4485771656] Data read
[21:21:02] [2.46089100838] Data read
[21:21:02] [2.47261309624] Data read
[21:21:02] [2.48522019386] Data read
[21:21:02] [2.49780511856] Data read
[21:21:02] [2.50913310051] Data read
[21:21:02] [2.52049612999] Data read
[21:21:02] [2.53301405907] Data read
[21:21:02] [2.54581308365] Data read
[21:21:02] [2.55711197853] Data read
[21:21:02] [2.5686340332] Data read
[21:21:02] [2.58109807968] Data read
[21:21:02] [2.59246015549] Data read
[21:21:02] [2.60472297668] Data read
